File Name,Line Number,Detected Numbers
kiterunner1.srt,27,१९७०
kiterunner1.srt,111,"२०१, १९७५"
kiterunner1.srt,115,१२
kiterunner1.srt,159,२६
kiterunner1.srt,279,"१९०, ७५"
kiterunner1.srt,667,१९३१
kiterunner1.srt,743,३०
kiterunner1.srt,823,१९६४
kiterunner1.srt,835,१८
kiterunner1.srt,919,१९६४
kiterunner1.srt,1163,१९
kiterunner1.srt,1459,१९
kiterunner1.srt,1839,१९७५
kiterunner1.srt,2027,१९६०
kiterunner1.srt,2115,३
kiterunner1.srt,3191,६०
kiterunner1.srt,3211,११
kiterunner1.srt,3327,१९७०
kiterunner1.srt,3923,१९३३
kiterunner1.srt,3927,४०
kiterunner1.srt,3947,००
kiterunner1.srt,4163,१२
kiterunner1.srt,4351,१३
kiterunner1.srt,4407,१०
kiterunner1.srt,4943,१९७३
kiterunner1.srt,5103,३०
kiterunner1.srt,5887,१९७८
kiterunner1.srt,5895,१९७९
kiterunner1.srt,5975,१७१९३
kiterunner1.srt,5991,४०
kiterunner1.srt,7211,१९७४
kiterunner1.srt,7643,१०
kiterunner1.srt,8159,५००
kiterunner1.srt,8455,१९८०
kiterunner1.srt,8535,३०
kiterunner1.srt,9083,१९७५
kiterunner1.srt,9123,२५
kiterunner1.srt,9355,१०
kiterunner1.srt,9375,१४
kiterunner1.srt,9435,२०
kiterunner1.srt,10327,५०
kiterunner1.srt,10607,५०
kiterunner1.srt,10639,३
kiterunner1.srt,10691,११
kiterunner1.srt,10715,१०
kiterunner1.srt,10727,३०
kiterunner1.srt,10763,१५
kiterunner1.srt,11015,१२
kiterunner1.srt,11107,१२
kiterunner1.srt,11187,२६
kiterunner1.srt,12955,१५
kiterunner1.srt,12967,१०
kiterunner1.srt,13783,१०
kiterunner1.srt,13791,०
kiterunner1.srt,14007,१०
kiterunner1.srt,14059,४७
kiterunner1.srt,14063,११
kiterunner1.srt,14351,१९७५
kiterunner1.srt,14803,४०
kiterunner1.srt,14807,४०
kiterunner1.srt,15371,"१९७६, १३"
kiterunner1.srt,15479,४००
kiterunner1.srt,15487,१३
kiterunner1.srt,16307,१८
kiterunner1.srt,17199,३०
kiterunner1.srt,17275,३०
kiterunner1.srt,17811,१०
kiterunner1.srt,18087,१९८१
kiterunner1.srt,18159,२
kiterunner1.srt,18275,१८
kiterunner1.srt,18315,१७०
kiterunner1.srt,18351,१९६७
kiterunner1.srt,18527,१३
kiterunner1.srt,18735,२०
kiterunner1.srt,19207,१८
kiterunner1.srt,19327,१५
kiterunner1.srt,19699,३०
kiterunner1.srt,20523,१९८०
kiterunner1.srt,20667,१९८०
kiterunner1.srt,20851,१९८३
kiterunner1.srt,21347,६
kiterunner1.srt,21491,६
kiterunner1.srt,21503,१२१२
kiterunner1.srt,21623,१५
kiterunner1.srt,21663,१९८३
kiterunner1.srt,21667,२०
kiterunner1.srt,21691,२०
kiterunner1.srt,22723,१९८४
kiterunner1.srt,22727,२१
kiterunner1.srt,22739,५००
kiterunner1.srt,22743,७१
kiterunner1.srt,22907,"४, ०"
kiterunner1.srt,22911,२५
kiterunner1.srt,23075,१९८४
kiterunner1.srt,23099,८४
kiterunner1.srt,23899,१९८५
kiterunner1.srt,23943,"२, ०"
kiterunner1.srt,24915,५
kiterunner1.srt,24919,३
kiterunner1.srt,25903,२२
kiterunner1.srt,26211,१
kiterunner1.srt,26811,११
kiterunner1.srt,26927,"१५, ०"
kiterunner1.srt,27035,१८
kiterunner1.srt,27227,४०
kiterunner1.srt,27803,३५
kiterunner1.srt,27911,२०
kiterunner1.srt,28035,३००
kiterunner1.srt,28131,२
kiterunner1.srt,29295,६
kiterunner1.srt,29511,३
kiterunner1.srt,29743,६
kiterunner1.srt,29935,१९८८
kiterunner1.srt,29943,६
kiterunner1.srt,30171,१९८१
kiterunner1.srt,30627,१९९१
kiterunner1.srt,31091,२०१
kiterunner1.srt,31155,६
kiterunner1.srt,31179,१०
kiterunner1.srt,31299,१५
kiterunner2.srt,199,१९८१
kiterunner2.srt,379,१९८१
kiterunner2.srt,619,१५
kiterunner2.srt,783,१९८८
kiterunner2.srt,815,१८
kiterunner2.srt,863,१९८१
kiterunner2.srt,911,"१९९२, १९९६"
kiterunner2.srt,1483,१९८६
kiterunner2.srt,1711,"१०, १९८६"
kiterunner2.srt,1719,"२२, २३"
kiterunner2.srt,2407,४०
kiterunner2.srt,2543,१९८०
kiterunner2.srt,2575,१९९०
kiterunner2.srt,2731,१९६४
kiterunner2.srt,2903,१९९०
kiterunner2.srt,3075,१९९५
kiterunner2.srt,3291,१९९६
kiterunner2.srt,3355,१९९८
kiterunner2.srt,3959,१०
kiterunner2.srt,4079,६
kiterunner2.srt,4215,१९७४
kiterunner2.srt,4859,३८
kiterunner2.srt,5151,१५
kiterunner2.srt,5379,१९७५
kiterunner2.srt,5427,३८
kiterunner2.srt,5639,१९७४
kiterunner2.srt,5819,"२९, २९"
kiterunner2.srt,5823,२०
kiterunner2.srt,5835,१०
kiterunner2.srt,5839,१४
kiterunner2.srt,6119,२०
kiterunner2.srt,7167,१२
kiterunner2.srt,7463,१९९५
kiterunner2.srt,7579,१५
kiterunner2.srt,7727,२६
kiterunner2.srt,7815,२०
kiterunner2.srt,8115,७०
kiterunner2.srt,8143,१९९२
kiterunner2.srt,8159,"१९९२, १९९६"
kiterunner2.srt,8183,१२
kiterunner2.srt,8471,५०
kiterunner2.srt,8523,२०२२
kiterunner2.srt,8699,३
kiterunner2.srt,8823,१९५८
kiterunner2.srt,8827,१९९६
kiterunner2.srt,8839,१९७१
kiterunner2.srt,9163,१०
kiterunner2.srt,9539,०
kiterunner2.srt,10187,६
kiterunner2.srt,10231,१०
kiterunner2.srt,10527,१५
kiterunner2.srt,10991,२५
kiterunner2.srt,11071,१०
kiterunner2.srt,11107,१०
kiterunner2.srt,11383,५
kiterunner2.srt,11515,१६२०
kiterunner2.srt,11555,"१५, २०"
kiterunner2.srt,11579,५००
kiterunner2.srt,11583,"५००, ५००"
kiterunner2.srt,11923,७०
kiterunner2.srt,12619,३
kiterunner2.srt,12703,३
kiterunner2.srt,12715,१५
kiterunner2.srt,13055,३६
kiterunner2.srt,13379,१९९८
kiterunner2.srt,14187,१०
kiterunner2.srt,14407,१९८०
kiterunner2.srt,15527,१९७५
kiterunner2.srt,16071,१०
kiterunner2.srt,17111,१५१६
kiterunner2.srt,18391,१०
kiterunner2.srt,18579,१०
kiterunner2.srt,18811,१३
kiterunner2.srt,19143,२०००
kiterunner2.srt,19147,२०००
kiterunner2.srt,19635,४०
kiterunner2.srt,19731,१०
kiterunner2.srt,21323,५७
kiterunner2.srt,21343,१५
kiterunner2.srt,21531,५०
